species_code,species_name,common_name,year_added,kingdom_taxon,subkingdom_taxon,phylum_taxon,subphylum_taxon,superclass_taxon,class_taxon,subclass_taxon,infraclass_taxon,division_taxon,subdivision_taxon,superorder_taxon,order_taxon,suborder_taxon,infraorder_taxon,superfamily_taxon,family_taxon,subfamily_taxon,tribe_taxon,subtribe_taxon,genus_taxon,subgenus_taxon,section_taxon,subsection_taxon,species_taxon,subspecies_taxon,report_name_scientific,fish,invert,used_in_counts
40010,Hydrozoa,NA,1988,Animalia,NA,Cnidaria,NA,NA,Hydrozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrozoa unid.,FALSE,TRUE,TRUE
40011,Hydroidolina,hydroid unid.,1984,Animalia,NA,Cnidaria,NA,NA,Hydrozoa,Hydroidolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroidolina unid.,FALSE,TRUE,TRUE
40500,Scyphozoa,jellyfish unid.,1988,Animalia,NA,Cnidaria,Medusozoa,NA,Scyphozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scyphozoa unid.,FALSE,TRUE,TRUE
40501,Chrysaora sp.,chrysaora jelly,1984,Animalia,NA,Cnidaria,Medusozoa,NA,Scyphozoa,Discomedusae,NA,NA,NA,NA,Semaeostomeae,NA,NA,NA,Pelagiidae,NA,NA,NA,Chrysaora,NA,NA,NA,NA,NA,Chrysaora sp.,FALSE,TRUE,TRUE
40561,Cyanea capillata,lion's mane jelly,1984,Animalia,NA,Cnidaria,Medusozoa,NA,Scyphozoa,Discomedusae,NA,NA,NA,NA,Semaeostomeae,NA,NA,NA,Cyaneidae,NA,NA,NA,Cyanea,NA,NA,NA,capillata,NA,Cyanea capillata,FALSE,TRUE,TRUE
41201,Gersemia sp.,sea raspberry,1984,Animalia,NA,Cnidaria,NA,NA,Anthozoa,Octocorallia,NA,NA,NA,NA,Alcyonacea,Alcyoniina,NA,NA,Alcyoniidae,NA,NA,NA,Gersemia,NA,NA,NA,NA,NA,Gersemia sp.,FALSE,TRUE,TRUE
41221,Gersemia rubiformis,NA,1984,Animalia,NA,Cnidaria,NA,NA,Anthozoa,Octocorallia,NA,NA,NA,NA,Alcyonacea,Alcyoniina,NA,NA,Alcyoniidae,NA,NA,NA,Gersemia,NA,NA,NA,rubiformis,NA,Gersemia rubiformis,FALSE,TRUE,TRUE
43000,Actiniaria,sea anemone unid.,1988,Animalia,NA,Cnidaria,NA,NA,Anthozoa,Hexacorallia,NA,NA,NA,NA,Actiniaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actiniaria unid.,FALSE,TRUE,TRUE
43010,Metridium sp.,NA,1984,Animalia,NA,Cnidaria,NA,NA,Anthozoa,Hexacorallia,NA,NA,NA,NA,Actiniaria,Nyantheae,Thenaria,NA,Metridiidae,NA,NA,NA,Metridium,NA,NA,NA,NA,NA,Metridium sp.,FALSE,TRUE,TRUE
43040,Urticina sp.,NA,1984,Animalia,NA,Cnidaria,NA,NA,Anthozoa,Hexacorallia,NA,NA,NA,NA,Actiniaria,Nyantheae,Thenaria,NA,Actiniidae,NA,NA,NA,Urticina,NA,NA,NA,NA,NA,Urticina sp.,FALSE,TRUE,TRUE
